Epoch,Time,Train/box_loss,Train/cls_loss,Train/dfl_loss,Metrics/precision(B),Metrics/recall(B),Metrics/mAP50(B),Metrics/mAP50-95(B),Val/box_loss,Val/cls_loss,Val/dfl_loss,LR/pg0
1,867.0499696731567,0.0,9.784253052202985e-08,0.03013691119849682,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
2,861.4827404022217,0.0,7.16401871159178e-09,0.013847955502569675,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
3,859.398540019989,0.0,1.6119042212103807e-10,0.005739330779761076,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
4,23259.369473457336,0.0,2.1492055357619222e-10,0.005829684901982546,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
5,858.1573746204376,0.0,2.1492058133176783e-10,0.009932889603078365,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
6,855.35560297966,0.0,3.582009688862797e-11,0.007420599460601807,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
7,855.7865045070648,0.0,0.0,0.0055739181116223335,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
8,860.4996123313904,0.0,0.0,0.006895772181451321,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
9,974.1012811660767,0.0,0.0,0.007169922348111868,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
10,853.5365834236145,0.0,0.0,0.0054878792725503445,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
11,903.2788593769073,0.0,0.0,0.0028270792681723833,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
12,888.3882040977478,0.0,0.0,0.003018468152731657,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
13,870.2558498382568,0.0,0.0,0.0040668705478310585,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
14,864.7162883281708,0.0,0.0,0.0035041437949985266,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
15,868.4526946544647,0.0,0.0,0.0034706303849816322,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
16,865.5120394229889,0.0,1.2320865607762244e-06,0.0015583636704832315,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
17,4332.79314827919,0.0,0.0,0.0025989366695284843,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
18,894.7282481193542,0.0,0.0,0.002219424583017826,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
19,898.8574788570404,0.0,0.0,0.003198518417775631,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
20,900.4951286315918,0.0,0.0,0.002795306732878089,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
21,917.9179480075836,0.0,1.2084609579687822e-06,0.0020876785274595022,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
22,910.1639091968536,0.0,0.0,0.002025345806032419,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
23,921.4301393032074,0.0,0.0,0.002440044190734625,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
24,921.1674139499664,0.0,0.0,0.003732208162546158,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
25,916.5243322849274,0.0,0.0,0.0014055364299565554,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
26,895.0094757080078,0.0,0.0,0.0010031175334006548,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
27,895.0298612117767,0.0,0.0,0.0022473896387964487,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
28,890.9830901622772,0.0,0.0,0.00178142252843827,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
29,897.9870216846466,0.0,3.582009688862797e-11,0.0006220291834324598,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
30,896.723302602768,0.0,0.0,0.0018551741959527135,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
31,907.2093482017517,0.0,0.0,0.0029142422135919333,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
32,883.6189551353455,0.0,1.8651683149073506e-06,0.0013870788970962167,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
33,889.339284658432,0.0,0.0,0.0016995719633996487,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
34,895.0382487773895,0.0,0.0,0.0019412721740081906,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
35,910.3750600814819,0.0,0.0,0.002548674587160349,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
36,904.6485321521759,0.0,2.929872877643902e-08,0.0014519051183015108,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
37,882.632645368576,0.0,0.0,0.0011336930328980088,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
38,869.4768805503845,0.0,0.0,0.0022614202462136745,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
39,873.3394641876221,0.0,1.7910048444313986e-11,0.0012411645147949457,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
40,886.2255487442017,0.0,0.0,0.0005135223618708551,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
41,904.5945892333984,0.0,0.0,0.0009154881117865443,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
42,866.9567868709564,0.0,0.0,0.0006095590651966631,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
43,864.6962718963623,0.0,0.0,0.0012741273967549205,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
44,855.8275969028473,0.0,9.492027608359876e-09,0.0018782878760248423,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
45,857.3544821739197,0.0,0.0,0.0008595381514169276,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
46,862.1127285957336,0.0,1.4328037367672408e-10,0.0012520552845671773,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
47,853.2807290554047,0.0,7.164019377725594e-11,0.00137746287509799,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
48,859.3378229141235,0.0,9.760659835933438e-09,0.00221081986092031,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
49,875.7559649944305,0.0,0.0,0.0014463404659181833,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
50,881.6885170936584,0.0,2.507406782203958e-10,0.00035094391205348074,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,0.005
